	blood_group	job	sex	name	company	race	ssn	birthdate	current_location
2617	O-	Tax adviser	F	Holly Allen	Bell LLC	black	167-04-9152	1972-03-29	(Decimal('22.083709'), Decimal('-77.644166'))
2618	B-	Records manager	M	Joel Garcia	Sanford Inc	White	684-86-6896	07/21/1997, 00:00:00	(Decimal('74.513641'), Decimal('115.629334'))
2619	B+	Technical brewer	M	Russell Velazquez PhD	Carpenter, Johnson and Martin	Asian	024-30-3506	10/11/1927, 00:00:00	(Decimal('55.670762'), Decimal('-51.734314'))
2620	B+	Surveyor, quantity	M	Anthony Reid	Guzman-Meza	Asian	278-43-2804	07/06/2008, 00:00:00	(Decimal('43.634427'), Decimal('72.689912'))
2621	B-	Marine scientist	F	Lisa Morse	Bailey-Carpenter	White	826-85-9068	1986-05-07	(Decimal('-83.904117'), Decimal('75.242337'))
2622	AB-	Building services engineer	M	Jamie Lowe	Rose-Hernandez	White	445-81-6692	04/16/1991, 00:00:00	(Decimal('53.2538425'), Decimal('-149.277797'))
2623	B-	Designer, multimedia	M	Joseph Wilson	Rowe, Cooley and Hamilton	Black	327-23-5174	13 Dec 1907	(Decimal('-24.393537'), Decimal('78.182568'))
2624	A-	Engineer, biomedical	M	Scott Farmer	Smith, Hooper and Lopez	White	353-98-7464	1934-03-22	(Decimal('44.4187125'), Decimal('83.027870'))
2625	A-	Personal assistant	M	Micheal Peterson	Webb LLC	White	043-31-4766	30 Dec 1988	(Decimal('-71.573440'), Decimal('70.621253'))
2626	A+	Civil Service fast streamer	F	April Davis	Crawford, Travis and Davidson	White	036-58-8471	02 Jun 1960	(Decimal('-58.443155'), Decimal('20.172543'))
2627	O+	Copywriter, advertising	M	Harold Carter	Welch Ltd	Black	131-26-9523	06/14/1991, 00:00:00	(Decimal('-68.465619'), Decimal('-110.470345'))
2628	AB+	Database administrator	F	Heather Carr	Silva, Powell and Fox	Black	870-38-9210	08 Apr 1906	(Decimal('-81.436347'), Decimal('-41.441280'))
2629	B-	Accountant, chartered certified	M	David Nelson	Collins LLC	White	053-34-6109	1972/04/07	(Decimal('-5.2325455'), Decimal('-148.000397'))
2630	AB-	Engineer, petroleum	M	Martin Clark	Mckinney and Sons	Black	436-99-9055	1958/02/13	(Decimal('48.047064'), Decimal('-18.686623'))
2631	B-	Adult nurse	M	Colin Gallegos	Smith-Duncan	Black	619-32-5593	1975-04-02	(Decimal('-83.3059185'), Decimal('-71.625920'))
2632	O+	Materials engineer	M	Thomas Hicks	Davidson LLC	Hawaiian	163-10-9093	02/07/1941, 00:00:00	(Decimal('85.458816'), Decimal('107.484930'))
2633	AB+	General practice doctor	F	Jennifer Thomas	Ward-Olson	White	477-85-5322	11/22/1932, 00:00:00	(Decimal('-62.7240565'), Decimal('33.707794'))
2634	B+	Energy engineer	F	Tracy Lee	Adams Group	Indian	634-61-6759	10 Aug 1999	(Decimal('-17.072502'), Decimal('35.363119'))
2635	O-	Quantity surveyor	M	James Holland	Hall-Price	White	014-03-8603	10 Sep 1962	(Decimal('51.788826'), Decimal('172.684133'))
2636	A-	Cabin crew	M	John Rose	Green and Sons	White	169-25-0811	31 Mar 2009	(Decimal('-69.132327'), Decimal('44.402010'))
2637	AB-	Politician's assistant	M	Brent Gardner	Lewis-Chen	Black	805-06-2231	05/20/1997, 00:00:00	(Decimal('53.6277565'), Decimal('-106.739867'))
2638	AB+	Records manager	F	Melanie Phillips	White-Hill	White	681-22-5168	1940/06/11	(Decimal('62.792808'), Decimal('-147.648820'))
2639	O+	Race relations officer	M	Jay Hurst	Warren Inc	Black	126-35-6046	1924-09-26	(Decimal('-34.9248515'), Decimal('-71.339050'))
2640	A+	Advice worker	M	Richard Johnston	Watson, Diaz and Clark	White	433-97-4004	06 Feb 1948	(Decimal('-27.287450'), Decimal('166.117395'))
2641	A+	Media buyer	M	Craig Taylor DVM	Romero, Berry and Johnson	White	555-24-0479	02/08/2000, 00:00:00	(Decimal('34.3360115'), Decimal('51.333012'))
2642	B-	Medical physicist	F	Christina Jackson	Jordan Ltd	Hawaiian	738-43-8959	1976-10-02	(Decimal('-89.4211365'), Decimal('-109.199052'))
2643	B-	Textile designer	M	Oscar Clark	Franklin, Flores and Dodson	White	518-29-9317	11/17/1964, 00:00:00	(Decimal('88.071438'), Decimal('152.984173'))
2644	O+	Automotive engineer	M	Jackson Warner	Pearson PLC	Black	523-60-7897	07 Dec 1979	(Decimal('66.233590'), Decimal('137.888030'))
2645	AB-	Research scientist (medical)	F	Leslie Thomas	Oneal, Avila and Gonzales	White	127-81-8080	1969/12/06	(Decimal('-74.610168'), Decimal('56.756880'))
2646	O-	Police officer	M	Nathan Stone	Chung-Allen	Asian	782-04-2886	07/09/1983, 00:00:00	(Decimal('-18.234928'), Decimal('-120.754271'))
2647	O-	Research officer, trade union	M	James Gonzalez	Buchanan and Sons	White	738-97-0854	10/11/2014, 00:00:00	(Decimal('-9.2556475'), Decimal('125.513122'))
2648	AB-	Nature conservation officer	M	Joel Underwood	Hughes, Conner and Williams	Indian	450-34-9489	12 May 1984	(Decimal('-13.680802'), Decimal('130.213096'))
2649	AB+	Tax adviser	F	Debra Bryan	Perez, Cisneros and Hooper	Black	842-57-4392	11 Feb 1995	(Decimal('39.2690185'), Decimal('146.817427'))
2650	B+	Civil Service fast streamer	M	Robert Crosby	Pearson Inc	White	044-26-1251	17 Apr 1992	(Decimal('81.2686205'), Decimal('-60.390265'))
2651	A+	Nature conservation officer	M	Michael Alvarez	Davis Ltd	White	715-03-2893	2017-02-06	(Decimal('75.531109'), Decimal('-41.104668'))
2652	O-	Market researcher	M	David Reynolds	Davis-Chung	Asian	717-77-4030	1911-10-07	(Decimal('13.7680145'), Decimal('106.018326'))
2653	AB-	Dramatherapist	F	Kim Bradley	Delacruz LLC	White	504-49-1202	31 Oct 1979	(Decimal('38.1457195'), Decimal('115.243963'))
2654	A-	Warehouse manager	F	Grace Guzman	Miller Ltd	Hawaiian	264-52-6761	04 Apr 1934	(Decimal('-84.929450'), Decimal('77.581196'))
2655	O-	Administrator, charities/voluntary organisations	F	Mary Johnston	Allen, Hunter and Haley	White	083-11-6394	08 Sep 1990	(Decimal('-71.863068'), Decimal('-1.294119'))
2656	B-	Insurance underwriter	F	Dawn Thomas	Ward-Strong	black	041-01-2721	1938-05-03	(Decimal('-10.4540325'), Decimal('163.887352'))
2657	AB-	Advertising account executive	F	Christina Brown	Andrade-Davis	Hawaiian	326-67-1088	2005/06/17	(Decimal('27.7921695'), Decimal('73.362178'))
2658	A+	Microbiologist	F	Carrie Mills	Smith LLC	White	614-10-2054	1948-11-09	(Decimal('3.005965'), Decimal('49.909728'))
2659	A-	Veterinary surgeon	F	Anna Berg	Sampson, Duke and Smith	White	011-54-2316	26 Nov 2006	(Decimal('-61.9141955'), Decimal('-156.042267'))
2660	A+	Sales professional, IT	M	Gregory Massey	Pace-Gonzalez	White	799-26-8540	1922-04-03	(Decimal('36.4765565'), Decimal('68.725219'))
2661	O-	Veterinary surgeon	M	Juan Bennett	Gomez, Smith and Nixon	White	586-29-1706	1934-06-22	(Decimal('-57.536965'), Decimal('51.707954'))
2662	O+	Interpreter	M	Kevin Sherman	Stone LLC	White	123-92-0704	09/04/2013, 00:00:00	(Decimal('24.239771'), Decimal('122.875118'))
2663	AB-	Mental health nurse	F	Erin Joseph	Perry-Fuller	White	730-80-8483	23 Nov 1915	(Decimal('-41.4842355'), Decimal('26.312938'))
2664	O-	Public affairs consultant	F	Elizabeth Smith	Harris-Gamble	White	661-93-5692	24 Jun 1927	(Decimal('31.3904495'), Decimal('-148.653332'))
2665	B+	Data scientist	M	Brandon Jefferson	Townsend-Salinas	Black	126-36-0896	1928/09/01	(Decimal('12.2939655'), Decimal('50.693640'))
2666	A+	Network engineer	M	Dr. Michael Rivera DDS	Wall-Cooley	Hawaiian	799-25-0106	1929/01/15	(Decimal('45.699804'), Decimal('128.461794'))
2667	O+	Water engineer	F	Karen Welch	Perez, Gomez and Shea	Black	287-96-7669	31 Aug 2015	(Decimal('-4.1127155'), Decimal('162.134993'))
2668	AB+	Tour manager	M	Gregory Osborn	Davis LLC	White	513-90-2078	1954/06/15	(Decimal('14.7253225'), Decimal('-135.362396'))
2669	AB+	Counsellor	M	Christopher Pierce	Graves, Arias and Castillo	White	702-39-9790	13 Jul 1987	(Decimal('16.279117'), Decimal('-36.690087'))
2670	O+	Landscape architect	M	Scott Romero	Sanders, Mcintosh and Elliott	Black	457-25-3291	1990/05/23	(Decimal('74.938105'), Decimal('-73.173164'))
2671	AB-	Engineer, chemical	F	Melanie Blackwell	Newton-Brady	White	407-08-6337	2000/04/19	(Decimal('68.035029'), Decimal('108.459372'))
2672	O+	Engineer, site	F	Julie Johnson	Burke and Sons	Asian	200-69-6067	27 Apr 1951	(Decimal('-53.7201935'), Decimal('38.421919'))
2673	AB+	Engineering geologist	M	Wayne Norman	Petty-Porter	White	103-41-5796	02/04/1923, 00:00:00	(Decimal('-67.3676715'), Decimal('171.062865'))
2674	AB-	Electronics engineer	M	Stanley Spencer	Khan-Mendez	Indian	667-98-9519	1908/01/17	(Decimal('-54.884479'), Decimal('-174.086704'))
2675	A-	Investment banker, operational	F	Crystal Johnson	Williams, Trujillo and Torres	Hawaiian	633-86-3196	1952/10/12	(Decimal('-40.1847435'), Decimal('48.116597'))
2676	A-	Manufacturing engineer	M	Justin Booker	Rodriguez LLC	Hawaiian	158-57-3829	1946/12/20	(Decimal('67.308664'), Decimal('-66.567614'))
2677	O-	Radiographer, therapeutic	M	Marc York	King, Rogers and Mckay	White	899-16-5809	03/23/1947, 00:00:00	(Decimal('-44.805827'), Decimal('46.399486'))
2678	B+	Retail buyer	F	Christy Davis	Baker, Moore and Lee	White	725-19-9709	27 Jun 1956	(Decimal('65.5633525'), Decimal('-46.241594'))
2679	O+	Psychologist, educational	F	Maria Davis	Freeman-Harper	Asian	553-59-9504	2013/07/31	(Decimal('-1.7752585'), Decimal('-40.301387'))
2680	O+	Forensic psychologist	F	Melissa Cox	Brown, Simpson and Robinson	black	237-87-2505	1949-10-07	(Decimal('50.673538'), Decimal('76.800452'))
2681	B-	Architect	F	Kimberly Mann	Frederick, Mckay and Sanchez	Black	365-60-5102	02 Nov 2011	(Decimal('-45.446487'), Decimal('31.828341'))
2682	AB+	Development worker, international aid	M	Gary Bowman	Cruz-Hale	White	748-29-9719	1940-12-11	(Decimal('31.279476'), Decimal('-25.456836'))
2683	AB+	Fine artist	F	Marisa Cantrell	Valdez Ltd	Black	895-34-0054	16 Sep 1955	(Decimal('-20.5222155'), Decimal('-142.513073'))
2684	O+	Ecologist	M	Don Mann	Smith, Davis and Miller	Asian	436-21-8577	09/24/1997, 00:00:00	(Decimal('-22.248171'), Decimal('28.472925'))
2685	A+	Contractor	F	Julie Walls	Hansen-Ruiz	White	626-45-8385	1968/11/15	(Decimal('39.730266'), Decimal('-30.787194'))
2686	A+	Physicist, medical	F	Jillian Brock	Chapman, Grant and Newton	White	639-83-1272	11/15/1991, 00:00:00	(Decimal('-12.4435145'), Decimal('165.039007'))
2687	O+	Consulting civil engineer	F	Samantha Beck	Diaz, Jefferson and Rogers	black	658-27-0598	1998-07-13	(Decimal('89.954277'), Decimal('-20.287931'))
2688	B-	Teacher, adult education	M	Kevin Delacruz	Fields LLC	Black	502-11-8766	03 Sep 2021	(Decimal('-80.1435975'), Decimal('-111.876010'))
2689	A-	Teacher, secondary school	F	Julia Moss	Gomez-Carr	white	547-67-2504	2004/06/15	(Decimal('-30.420645'), Decimal('-162.967293'))
2690	O-	Recycling officer	F	Miss Kristen Taylor	Brandt Ltd	Indian	898-42-2829	10/11/1977, 00:00:00	(Decimal('48.6654575'), Decimal('10.521991'))
2691	O+	Conservation officer, historic buildings	F	Olivia Williamson	Rodriguez-Edwards	Asian	675-88-0326	2008/01/18	(Decimal('-49.243454'), Decimal('95.667464'))
2692	A+	Restaurant manager, fast food	F	Katrina Smith	Caldwell-Williams	Black	766-66-9064	1974/10/27	(Decimal('31.7014745'), Decimal('6.841364'))
2693	AB-	Therapist, music	F	Victoria Gardner	Garza-Hanson	black	883-57-5288	2011/05/08	(Decimal('42.7518585'), Decimal('-40.548436'))
2694	A+	Private music teacher	F	Angela Ross	Meza Ltd	White	300-07-5167	16 Nov 1936	(Decimal('-13.0830375'), Decimal('149.770686'))
2695	B+	Agricultural engineer	M	Ross Reynolds	Morton, Zavala and Sullivan	Asian	226-20-6997	2003-10-22	(Decimal('-38.117220'), Decimal('38.681642'))
2696	O+	Advertising copywriter	F	Alicia Nguyen	Hunter-Harris	White	146-14-3682	1973/04/06	(Decimal('46.2204905'), Decimal('-17.858083'))
2697	AB-	Merchant navy officer	F	Kimberly Garcia	Gonzalez and Sons	White	090-62-7971	1997/12/18	(Decimal('34.5744685'), Decimal('165.537606'))
2698	AB+	Town planner	F	Candice Moreno	Simon Inc	Black	851-65-2840	2007-06-23	(Decimal('20.019748'), Decimal('-131.166707'))
2699	O-	Quality manager	M	Kevin Gould	Nielsen-Baker	Black	888-89-4686	09/09/1970, 00:00:00	(Decimal('23.083593'), Decimal('-126.840609'))
2700	O+	Product designer	M	Seth Lopez	Wood Group	White	549-24-2480	1987/12/03	(Decimal('12.937438'), Decimal('-10.149603'))
2701	AB-	Engineer, biomedical	F	Courtney Taylor	Coleman, Huber and Conley	White	020-96-7667	1930/09/30	(Decimal('23.243790'), Decimal('140.415297'))
2702	O+	Magazine journalist	F	Dr. Catherine Jarvis	Perry, Patrick and Clark	black	271-07-0527	2005-10-31	(Decimal('64.092172'), Decimal('-34.566925'))
2703	O+	Applications developer	M	Calvin Coleman	Contreras Group	Black	025-87-8935	31 May 2013	(Decimal('-3.271860'), Decimal('-25.020142'))
2704	O+	Cabin crew	M	Robert Burgess	Stewart Ltd	black	248-13-8451	09/15/1942, 00:00:00	(Decimal('59.630252'), Decimal('-151.140351'))
2705	B+	Acupuncturist	M	Justin Olsen	Coffey, Walker and Young	Asian	599-92-6074	02 Dec 1913	(Decimal('-52.335209'), Decimal('114.448208'))
2706	AB-	Accountant, chartered	F	Amanda Simmons	Lowery Group	Black	620-95-3241	07 Jan 2014	(Decimal('-2.569185'), Decimal('61.567746'))
2707	O+	Teacher, special educational needs	F	Kristen Reyes	Malone-Jones	White	024-28-4796	11/10/1914, 00:00:00	(Decimal('-22.6839455'), Decimal('106.748022'))
2708	O-	Fashion designer	M	John Pierce	Espinoza, Conner and Nguyen	Hawaiian	874-93-7809	10 Nov 1964	(Decimal('40.3990015'), Decimal('138.802701'))
2709	O-	Metallurgist	M	Anthony Newman	Cox, Stevenson and Cox	Black	571-60-5737	2005-04-30	(Decimal('56.7214365'), Decimal('-46.942391'))
2710	AB+	Accommodation manager	M	James King	Young, Wilson and Cortez	White	407-86-1467	1951-05-18	(Decimal('-22.7124645'), Decimal('-5.214259'))
2711	O-	Advice worker	F	Gail Hunt DDS	Barnett Group	White	254-98-5948	23 Dec 1998	(Decimal('5.409167'), Decimal('-99.064598'))
2712	AB-	Media buyer	F	Shelby Matthews	Vargas PLC	White	614-50-3267	1932-03-11	(Decimal('81.9031355'), Decimal('-40.628952'))
2713	B-	Education officer, environmental	F	Lindsey Johnson	Rios Group	White	617-38-3108	15 May 1969	(Decimal('-12.602939'), Decimal('179.371651'))
2714	O+	Designer, television/film set	M	Timothy Wilson	Barr-Brown	Asian	612-40-9383	1912-05-15	(Decimal('-83.459024'), Decimal('73.908968'))
2715	A+	Retail buyer	M	Gabriel Hodges	Smith-Parker	Asian	248-67-8085	2008-07-09	(Decimal('-53.3960005'), Decimal('-158.456426'))
2716	B-	Engineer, chemical	F	Angela Torres	Parker, Moss and Lopez	Black	530-60-8574	14 Dec 1946	(Decimal('10.4690105'), Decimal('113.818239'))
2717	O+	Ophthalmologist	F	Michele Garcia	Barry-Andersen	Indian	765-28-9568	10/20/1945, 00:00:00	(Decimal('32.925064'), Decimal('-91.729950'))
2718	A-	Osteopath	M	Robert Smith	Williams-Lucas	White	185-70-8934	1922/07/27	(Decimal('-88.9052025'), Decimal('19.957896'))
2719	O+	Engineer, biomedical	F	Mary Yang	Rodriguez, Wright and Walker	Black	095-40-3010	2006-11-12	(Decimal('31.1963565'), Decimal('117.045793'))
2720	O+	Horticultural therapist	M	Hunter Li	Smith-Spears	Asian	128-80-2089	11/12/1999, 00:00:00	(Decimal('59.048974'), Decimal('20.866071'))
2721	O-	Contractor	M	Donald Ellis	Cooper Inc	Black	017-90-6175	1912-09-05	(Decimal('86.5255255'), Decimal('177.956395'))
2722	AB-	Financial controller	F	Stacy Sanders	Finley, Dodson and Hamilton	Asian	850-86-2467	06/14/2019, 00:00:00	(Decimal('62.2888655'), Decimal('94.679760'))
2723	B+	Ceramics designer	F	Christy Lowery	Davis, Boyd and Brennan	Black	816-08-1423	05/19/1923, 00:00:00	(Decimal('-0.4177075'), Decimal('103.616395'))
2724	B-	Primary school teacher	F	Kaylee Stevenson	Carroll Group	Black	016-38-7240	2001-12-21	(Decimal('30.368499'), Decimal('46.687957'))
2725	B+	Speech and language therapist	F	Shannon Floyd	Boone-Ferguson	Hawaiian	415-20-7833	04/16/1963, 00:00:00	(Decimal('74.449103'), Decimal('-91.829913'))
2726	AB-	Chief of Staff	F	Olivia Haas	Long-Williams	Black	610-79-8113	1911-02-14	(Decimal('35.365599'), Decimal('158.911368'))
2727	AB+	Intelligence analyst	F	Ruth Williams	Grant LLC	White	887-73-7978	12/08/2002, 00:00:00	(Decimal('-51.058201'), Decimal('49.861330'))
2728	AB+	Event organiser	M	Joseph Haynes	Cook-Huber	White	245-63-6068	2000/01/22	(Decimal('-64.4945365'), Decimal('107.512855'))
2729	B-	Mechanical engineer	M	Frank Ruiz	Maldonado Inc	Black	186-24-2433	16 Jun 1985	(Decimal('-65.078836'), Decimal('-175.776615'))
2730	AB+	Hydrogeologist	F	Debra Moore	Bradford-Richardson	White	036-48-3588	14 Jun 1957	(Decimal('84.3022325'), Decimal('20.363536'))
2731	A-	Engineer, building services	M	Dean Richardson	Daugherty-Garcia	Black	723-06-3911	1996-01-28	(Decimal('78.1514285'), Decimal('79.434354'))
2732	O-	Government social research officer	F	Pamela Whitehead	Richardson, Jones and Cannon	black	567-13-5978	16 Apr 1936	(Decimal('-8.058228'), Decimal('58.665196'))
2733	B+	Runner, broadcasting/film/video	F	Sharon Todd	Francis and Sons	White	041-91-7769	2009/11/23	(Decimal('34.8693075'), Decimal('-67.623457'))
2734	B-	Pharmacist, community	M	Mr. Cameron Lara	Cook Ltd	White	585-63-3124	17 Feb 1936	(Decimal('50.183708'), Decimal('135.535696'))
2735	A-	Chiropodist	F	Laurie Gordon	Barber Ltd	Black	130-55-1990	1908/02/22	(Decimal('25.3606335'), Decimal('-39.745393'))
2736	AB-	Glass blower/designer	M	Charles Conrad	Wilson-Torres	White	745-90-2652	1911/07/04	(Decimal('29.738504'), Decimal('-6.405046'))
2737	A-	Commissioning editor	F	Miss Ashley Garcia	Bradley-Daniels	Black	886-59-8040	01/04/2009, 00:00:00	(Decimal('-10.2996515'), Decimal('-101.405041'))
2738	B-	Media buyer	M	Casey Maldonado	Kemp PLC	White	671-13-9634	10/05/1906, 00:00:00	(Decimal('34.8730635'), Decimal('-165.971745'))
2739	AB-	Neurosurgeon	M	Jeffrey Taylor	Welch, Anderson and Smith	White	205-68-1073	09/19/2005, 00:00:00	(Decimal('-55.0318985'), Decimal('130.901553'))
2740	A+	Dentist	M	Jeffrey Allen	Dyer-Simmons	White	462-30-7937	1907-04-17	(Decimal('-57.2708215'), Decimal('178.725895'))
2741	A-	Financial trader	M	Juan Russell	Roth, Price and Brown	White	083-63-1536	09 Jul 1953	(Decimal('28.4097935'), Decimal('-123.259576'))
2742	A-	Sub	M	Jacob Griffin	Leblanc Inc	White	793-22-0027	2007/05/26	(Decimal('-69.7234785'), Decimal('73.960715'))
2743	B-	Operations geologist	M	Kevin Coffey	Walsh-Johnson	White	142-92-5285	1993/04/03	(Decimal('-19.6914305'), Decimal('67.612980'))
2744	B-	Illustrator	F	Pamela Leon	Simmons, Richards and Wood	White	084-21-2587	09 Dec 1909	(Decimal('-13.8107275'), Decimal('-131.525162'))
2745	O-	Designer, fashion/clothing	F	Emily Gill	Rhodes-Scott	Asian	090-64-2159	1911-10-03	(Decimal('-9.8377735'), Decimal('-168.471219'))
2746	B+	Hydrographic surveyor	F	Beth Patton	Michael PLC	White	091-20-1857	17 Jan 1977	(Decimal('62.4981485'), Decimal('31.133104'))
2747	B-	Building services engineer	M	Steven Nash	Sanchez Inc	White	030-13-6181	2011/07/03	(Decimal('-89.473191'), Decimal('-45.883005'))
2748	B+	Systems analyst	F	Olivia Lawson	Armstrong-Meyer	Black	659-39-3647	1911/10/12	(Decimal('-10.8663505'), Decimal('53.913191'))
2749	AB-	Engineer, materials	F	Jessica Parsons	Ross, White and Steele	White	693-13-3244	12 Feb 2015	(Decimal('-57.5966275'), Decimal('-151.473224'))
2750	AB-	Engineer, chemical	M	Dustin Phillips	Farmer-Church	Asian	051-49-4446	1965/03/27	(Decimal('-67.7171945'), Decimal('-159.665436'))
2751	A+	Banker	F	Anna Harris	Bryant, Ramirez and Williams	Black	691-03-4364	06/18/1924, 00:00:00	(Decimal('-22.635865'), Decimal('134.516756'))
2752	AB+	Therapeutic radiographer	F	Stephanie Callahan	Frost Group	White	318-16-8119	1922/11/11	(Decimal('9.4984115'), Decimal('176.193630'))
2753	AB+	Teacher, music	M	Robert Shepard	Parrish, Jimenez and Warren	White	426-27-6634	19 Jun 1914	(Decimal('70.1204785'), Decimal('-27.151208'))
2754	AB+	Catering manager	M	Ryan Brown	Grimes-Burke	Black	310-38-4291	1992-11-03	(Decimal('55.7305425'), Decimal('23.112501'))
2755	O+	Scientist, biomedical	F	Jessica Snyder	Neal, Gonzalez and Bentley	White	411-54-4194	05/31/1956, 00:00:00	(Decimal('76.2653835'), Decimal('-145.485129'))
2756	A-	Engineer, electrical	F	Kathy James	Cochran-Conrad	Asian	213-58-1449	07/22/1964, 00:00:00	(Decimal('46.285954'), Decimal('17.321088'))
2757	AB+	Copy	M	Blake Townsend	Johnson-Miller	Black	178-34-7153	02 Feb 1917	(Decimal('-19.7221645'), Decimal('-133.970148'))
2758	A-	Insurance underwriter	F	Wendy Lawrence	Morgan, Kelly and Martinez	White	627-81-8131	15 Jan 2016	(Decimal('-6.560748'), Decimal('-94.622341'))
2759	A+	Mental health nurse	F	Heather Zimmerman	Haynes and Sons	Black	119-25-0733	1921/04/18	(Decimal('34.487290'), Decimal('-45.206629'))
2760	B+	Contracting civil engineer	M	Drew Brown	Webster-Carlson	black	690-58-4495	18 Dec 1921	(Decimal('27.058610'), Decimal('18.624857'))
2761	B+	Community arts worker	F	Emily Payne	Ball, Smith and Newton	Indian	473-95-4591	07 Aug 2015	(Decimal('-63.2152305'), Decimal('-57.830865'))
2762	A+	Buyer, industrial	F	Tanya Owen	Benitez-Klein	Indian	502-27-3358	01/12/1912, 00:00:00	(Decimal('36.664500'), Decimal('-124.005821'))
2763	A+	Surveyor, mining	F	Paula Roberts	Palmer LLC	White	557-78-7226	15 Dec 1955	(Decimal('-18.352020'), Decimal('-90.994109'))
2764	AB+	Social research officer, government	M	Kevin Fisher	Taylor-Fuller	White	519-12-0736	1975-10-09	(Decimal('46.822771'), Decimal('-57.296372'))
2765	AB+	Physicist, medical	F	Wendy Smith	Anderson, Jones and Tran	White	200-56-2286	1913/05/19	(Decimal('-89.820223'), Decimal('-78.525736'))
2766	A-	Exercise physiologist	F	Kimberly Nunez	Whitehead-Cline	Black	410-52-6454	02/22/1961, 00:00:00	(Decimal('-50.413400'), Decimal('153.047626'))
2767	AB-	Academic librarian	M	Philip Ramsey	Ray, Wilson and Livingston	Black	139-27-7625	1914-11-13	(Decimal('15.171077'), Decimal('-58.366855'))
2768	O-	Paramedic	M	Samuel Short	Lane, Garcia and Ryan	Black	545-13-9161	07 Sep 1928	(Decimal('61.398795'), Decimal('94.772982'))
2769	AB-	Hydrologist	M	Ricky Frey	Jenkins-Adams	Hawaiian	178-31-7627	11/10/1963, 00:00:00	(Decimal('-42.9310265'), Decimal('-80.908142'))
2770	AB-	Catering manager	M	Alexander Banks	Davis LLC	White	662-26-4313	28 Dec 1992	(Decimal('-9.167452'), Decimal('-39.402010'))
2771	A+	Telecommunications researcher	F	Christine Smith	Hart-Hubbard	black	820-98-1514	1982-10-25	(Decimal('75.505962'), Decimal('175.880057'))
2772	O+	Microbiologist	F	Emily Dickerson	Weaver, Patterson and Montgomery	White	488-37-8553	1976-07-03	(Decimal('-17.631981'), Decimal('-109.688869'))
2773	O+	Nutritional therapist	M	Tyrone Dickson	Baxter and Sons	black	528-29-1037	1960/01/05	(Decimal('-24.5886205'), Decimal('-14.711887'))
2774	AB-	Horticultural consultant	F	Kari Garcia	Morales, Hampton and Ruiz	White	514-99-5385	2010/03/05	(Decimal('-30.569556'), Decimal('-96.893945'))
2775	AB+	Ranger/warden	M	Philip Parker	Price, Hernandez and Snyder	White	595-82-6666	1954/02/15	(Decimal('62.5025225'), Decimal('34.103563'))
2776	O+	Artist	M	Ralph Chen	Gross Group	white	466-65-7754	09/02/1914, 00:00:00	(Decimal('-81.6044425'), Decimal('-80.076204'))
2777	B+	Broadcast journalist	M	William Clark	Garcia and Sons	White	314-67-4909	18 Feb 1940	(Decimal('-48.0294245'), Decimal('-163.895410'))
2778	A-	Manufacturing systems engineer	M	Michael Cooke	Singh-Miller	White	174-56-3733	1989-04-26	(Decimal('-3.393249'), Decimal('39.234213'))
2779	O-	Futures trader	F	Tammy Cervantes	Brown Group	White	406-44-4318	2005/08/29	(Decimal('15.106847'), Decimal('48.899879'))
2780	O+	Community arts worker	M	Michael Baldwin	Silva Inc	White	539-19-9587	1999/10/17	(Decimal('-17.1380735'), Decimal('177.559938'))
2781	B+	Games developer	M	Kenneth Acosta	Mccullough Ltd	White	838-71-5951	09 Jun 1977	(Decimal('-39.1358425'), Decimal('-59.841155'))
2782	AB-	Lighting technician, broadcasting/film/video	M	Justin Walker	Bartlett, Young and Cole	White	634-73-6348	08 Jun 2012	(Decimal('-40.100383'), Decimal('84.895795'))
2783	B+	Hydrologist	F	Ashley Carr	Suarez-Shelton	White	627-70-3182	03/27/2016, 00:00:00	(Decimal('60.5394765'), Decimal('-167.404597'))
2784	B-	Geologist, wellsite	M	Luis Cooper	Russell-Kline	White	490-87-5943	1919-02-09	(Decimal('37.889694'), Decimal('-92.205731'))
2785	A+	Corporate treasurer	F	Amy Smith	Harris Ltd	Black	110-33-5986	1933-07-25	(Decimal('-35.201645'), Decimal('147.436491'))
2786	AB+	Radio producer	M	Richard Weaver	Gonzalez, Bruce and Wolf	Indian	025-78-0799	1992-04-21	(Decimal('-43.7982865'), Decimal('-45.178637'))
2787	O-	Counsellor	M	Derek Bauer	Taylor, Campbell and Leblanc	Hawaiian	313-37-1006	1925-04-16	(Decimal('76.8652275'), Decimal('132.892470'))
2788	O-	Set designer	F	Brenda Poole	Bennett, Berg and Wagner	Indian	435-69-5716	07/30/2001, 00:00:00	(Decimal('-50.290623'), Decimal('4.410526'))
2789	B+	Learning mentor	M	Matthew Gibson	Duncan-Thompson	White	832-98-6883	1970/10/13	(Decimal('25.670912'), Decimal('139.125710'))
2790	AB+	Building services engineer	M	Robert Olson	Hernandez-Collins	Indian	141-76-5964	1969-12-01	(Decimal('-14.486250'), Decimal('-175.336337'))
2791	AB+	Neurosurgeon	M	Todd Kim	Anderson LLC	Black	283-30-7174	08 Feb 1946	(Decimal('-6.6804905'), Decimal('-177.393677'))
2792	A-	Chief Technology Officer	F	Nicole Jones	Norris and Sons	White	411-60-4177	31 Jan 1941	(Decimal('85.083456'), Decimal('66.072544'))
